"OEM","Slice","GroundTruth","ExpectedCategory","ExpectedSystem","GoodTokens","CorrectClass","FailReason","Total","FirstDesc","FirstBrand","FirstCategory","AftermarketCount","OEMNumbersCount","HasSupersession","ReplTotal","ElapsedS","IsTimeout"
"92402-P1120","real_hk_seeded","exists","Tail Light - Rear Right","Electrical","tail,light,rear,right","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Combination Rearlight for Kia Sportage (2021+)","Kia","/ Combination Rearlight","0","0","False","0","4.18","False"
"82460-DW000","real_hk_seeded","exists","Power Window Motor - Front","Body","power,window,motor,front","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Electric Motor, window regulator","Hyundai / KIA"," / Electric Motor, window regulator","0","0","False","0","4.32","False"
"92402-K0510","real_hk_seeded","exists","Tail Light - Rear Right","Electrical","tail,light,rear,right","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Combination Rearlight","Hyundai / KIA","/ Combination Rearlight","0","0","False","0","5.12","False"
"91510-M7792","real_hk_coarse","exists","Wiring Harness","Electrical","wiring,harness","FN","no results","0","","","","0","0","False","0","3.18","False"
"99240-P2000","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","1","False"
"97134-AT500","real_hk_seeded","exists","Cabin Air Filter","HVAC","cabin,air,filter","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Filter, interior air (Rear)","Hyundai / KIA","HVAC / Cabin Air Filter","0","0","False","0","5.05","False"
"92101-DW000","real_hk_seeded","exists","Headlight - Front Left","Electrical","headlight,front,left","FP","WRONG-PART: expected 'headlight,front,left' but got 'Headlight'","1","Headlight","Hyundai / KIA","Electrical / Headlight Assembly","0","0","False","0","3.23","False"
"92402-CV050","real_hk_seeded","exists","Tail Light - Rear Right","Electrical","tail,light,rear,right","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Combination Rearlight for Hyundai Staria (2021+)","Hyundai","/ Combination Rearlight","0","0","False","0","4.17","False"
"92409-R0010","real_hk_coarse","exists","Tail Light Assembly","Electrical","tail,light,assembly","FP","WRONG-PART: expected 'tail,light,assembly' but got 'Charger, charging system (Front Right)'","2","Charger, charging system (Front Right)","Hyundai / KIA"," / Charger, charging system","0","0","False","0","3.22","False"
"12492-03101","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.85","False"
"26310-2T200","real_hk_seeded","exists","Oil Pan","Engine","oil,pan","FP","WRONG-PART: expected 'oil,pan' but got 'Brake Disc for Kia Optima (2010-2015)'","1","Brake Disc for Kia Optima (2010-2015)","Kia","Brakes / Brake Disc","0","0","False","0","3.31","False"
"54650-J5060","real_hk_seeded","exists","Shock Absorber - Front","Suspension","shock,absorber,front","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","Shock Absorber","Hyundai / KIA","Suspension / Shock Absorber / Strut","0","0","False","0","2.42","False"
"92102-DW100","real_hk_seeded","exists","Headlight - Front Right","Electrical","headlight,front,right","FP","WRONG-PART: expected 'headlight,front,right' but got 'Headlight'","1","Headlight","Hyundai / KIA","Electrical / Headlight Assembly","0","0","False","0","4.23","False"
"23226-2T000","real_hk_coarse","exists","Cylinder Head & Valvetrain","Engine","cylinder,head,valvetrain","FP","WRONG-PART: expected 'cylinder,head,valvetrain' but got 'PLATE - ADAPTER'","1","PLATE - ADAPTER","Hyundai / KIA","Engine / Cylinder Head & Valvetrain","0","0","False","0","3.21","False"
"99910-R0BA0","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.53","False"
"92401-H9200","real_hk_seeded","exists","Tail Light - Rear Left","Electrical","tail,light,rear,left","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","1","Combination Rearlight","Hyundai / KIA","/ Combination Rearlight","0","0","False","0","4.15","False"
"92830-R0000","real_hk_coarse","exists","Lighting - Headlights","Electrical","lighting,headlights","FP","WRONG-PART: expected 'lighting,headlights' but got 'CLIP - ROOM LAMP MTG'","1","CLIP - ROOM LAMP MTG","Hyundai / KIA","Electrical / Lighting - Headlights","0","0","False","0","2.1","False"
"80620-R0000","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.78","False"
"92102-DW110","real_hk_seeded","exists","Headlight - Front Right","Electrical","headlight,front,right","FP","WRONG-PART: expected 'headlight,front,right' but got 'Headlight'","1","Headlight","Hyundai / KIA","Electrical / Headlight Assembly","0","0","False","0","3.13","False"
"92101-D9120","real_hk_seeded","exists","Headlight - Front Left","Electrical","headlight,front,left","FP","WRONG-PART: expected 'headlight,front,left' but got 'Headlight for Kia Sportage (2015-2021)'","1","Headlight for Kia Sportage (2015-2021)","Kia","Electrical / Headlight Assembly","0","0","False","0","4.36","False"
"54650-G8000","real_hk_seeded","exists","Shock Absorber - Front","Suspension","shock,absorber,front","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","Shock Absorber","Hyundai / KIA","Suspension / Shock Absorber / Strut","0","0","False","0","2.29","False"
"49300-N9000","real_hk_coarse","exists","Transfer Case / 4WD","Drivetrain","transfer,case,4wd","FP","WRONG-PART: expected 'transfer,case,4wd' but got 'Propshaft, axle drive for Hyundai Tucson (2020+)'","2","Propshaft, axle drive for Hyundai Tucson (2020+)","Hyundai"," / Propshaft, axle drive","0","0","False","0","3.15","False"
"97133-AO000","real_hk_seeded","exists","Cabin Air Filter","HVAC","cabin,air,filter","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","Filter, interior air","Hyundai / KIA","HVAC / Cabin Air Filter","0","0","False","0","3.21","False"
"82412-C7000","real_hk_coarse","exists","Glass / Windshield","Body","glass,windshield","FP","WRONG-PART: expected 'glass,windshield' but got 'HOLDER - DOOR GLASS'","1","HOLDER - DOOR GLASS","Hyundai / KIA","Body / Glass / Windshield","0","0","False","0","2.11","False"
"80610-S9500","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.98","False"
"51712-CV200","real_hk_seeded","exists","Brake Disc - Front","Brakes","brake,disc,front","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","Brake Disc for Hyundai Staria (2021+)","Hyundai","Brakes / Brake Disc","0","0","False","0","2.32","False"
"51712-H8500","real_hk_seeded","exists","Brake Disc - Front","Brakes","brake,disc,front","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","DISC - FRONT WHEEL BRAKE","Hyundai / KIA","Suspension / Front Axle","0","0","False","0","2.25","False"
"82460-J5510","real_hk_seeded","exists","Power Window Motor - Front","Body","power,window,motor,front","TP","correct-but-poor: only 0 replacements (AM=0 OEMxRef=0 sup=False)","2","MOTOR ASSY - FRONT POWER WDW,RH","Hyundai / KIA","Body / Glass / Windshield","0","0","False","0","2.22","False"
"81680-R0000","real_hk_coarse","exists","Weatherstrip & Seal","Body","weatherstrip,seal","FP","WRONG-PART: expected 'weatherstrip,seal' but got 'MOTOR ASSY - SUNROOF'","1","MOTOR ASSY - SUNROOF","Hyundai / KIA","Body / Weatherstrip & Seal","0","0","False","0","3.18","False"
"99211-P1060","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.55","False"
"92102-M7500","real_hk_seeded","exists","Headlight - Front Right","Electrical","headlight,front,right","FP","WRONG-PART: expected 'headlight,front,right' but got 'Headlight (Rear)'","1","Headlight (Rear)","Hyundai / KIA","Electrical / Headlight Assembly","0","0","False","0","4.43","False"
"21950-3X300","real_hk_coarse","exists","Engine Block & Internals","Engine","engine,block,internals","FP","WRONG-PART: expected 'engine,block,internals' but got 'Engine Mounting for Hyundai Elantra (2011-2015)'","2","Engine Mounting for Hyundai Elantra (2011-2015)","Hyundai","/ Engine Mounting","0","0","False","0","2.19","False"
"99250-F6500","real_hk_unseeded","exists","Unknown","Unknown","","FN","no results","0","","","","0","0","False","0","0.99","False"
