"OEM","Slice","GroundTruth","ExpectedSystem","ExpectedCategory","GoodTokens","ExpectedMake","Chassis","Prefix5"
"09147-S1000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","S1","09147"
"42951-2B010","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","2B","42951"
"80610-P1500","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","80610"
"80610-R5000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R5","80610"
"99240-Q5500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","Q5","99240"
"80610-R5500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R5","80610"
"80660-P1050","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","80660"
"77003-R5001","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R5","77003"
"80310-Q5600","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","Q5","80310"
"05203-R5460","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R5","05203"
"12418-05083","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","05","12418"
"79315-1Y000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","1Y","79315"
"79390-3D400","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","3D","79390"
"99150-P1100","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","99150"
"80620-K0500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","K0","80620"
"80620-DW000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","DW","80620"
"09214-L1200","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","L1","09214"
"99220-J5000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","J5","99220"
"00018-ADUP8","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","AD","00018"
"20910-2SA02","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","2S","20910"
"99140-S9050","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","S9","99140"
"05203-S9100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","S9","05203"
"99140-P1000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","99140"
"12433-04161","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","04","12433"
"99910-L3100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","L3","99910"
"09375-GI900","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","GI","09375"
"99960-R5000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R5","99960"
"99241-K0500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","K0","99241"
"05203-J5510","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","J5","05203"
"99155-M6600","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","M6","99155"
"80620-CV700","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","80620"
"80610-K0500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","K0","80610"
"99140-J5000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","J5","99140"
"11276-06161","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","06","11276"
"99150-L3100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","L3","99150"
"77121-CV000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","77121"
"09375-K4102","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","K4","09375"
"09314-L1100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","L1","09314"
"15732-12003","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","12","15732"
"42951-3D410","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","3D","42951"
"80410-K0000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","K0","80410"
"99240-K0600","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","K0","99240"
"99211-Q5200","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","Q5","99211"
"05203-CV400","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","05203"
"09501-C9190","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","C9","09501"
"99910-CH330","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","CH","99910"
"42952-4G080","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","4G","42952"
"99140-L3120","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","L3","99140"
"20920-3CM00","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","3C","20920"
"77980-P1000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","77980"
"09474-4E300","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","4E","09474"
"20920-2SA02","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","2S","20920"
"99250-CV010","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","99250"
"09430-2C100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","2C","09430"
"99910-DW210","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","DW","99910"
"77121-DB000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","DB","77121"
"99150-L3000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","L3","99150"
"99145-K0500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","K0","99145"
"99216-S9150","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","S9","99216"
"09430-G2200","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","G2","09430"
"17379-20834","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","20","17379"
"05203-R0420","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","R0","05203"
"99240-CV010","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","99240"
"99240-J5000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","J5","99240"
"99140-K0500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","K0","99140"
"99150-CV000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","99150"
