"OEM","Slice","GroundTruth","ExpectedSystem","ExpectedCategory","GoodTokens","ExpectedMake","Chassis","Prefix5"
"28521-2T000","real_hk_coarse","exists","Cooling","Coolant Hose","coolant,hose","Kia","2T","28521"
"31150-P4500","real_hk_coarse","exists","Drivetrain","Front Differential","front,differential","Hyundai/Kia","P4","31150"
"97143-J9000","real_hk_coarse","exists","HVAC","Compressor A/C","compressor","Hyundai/Kia","J9","97143"
"09430-2C800","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","2C","09430"
"05203-M7560","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","M7","05203"
"80620-L3010","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","L3","80620"
"77990-P2000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","P2","77990"
"80620-S9500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","S9","80620"
"09430-G2200","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","G2","09430"
"99810-AO000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","AO","99810"
"80420-P1000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","80420"
"09533-C1120","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","C1","09533"
"77004-CV000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","77004"
"42951-2B010","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","2B","42951"
"99240-F6500","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","F6","99240"
"12493-05169","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","05","12493"
"77003-H9100","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","H9","77003"
"99220-L2000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","L2","99220"
"56975-F2168","plausible_hk","not_hk_format","Suspension","Steering Column & Gear","","Hyundai/Kia","F2","56975"
"48810-2E067","plausible_hk","not_hk_format","Drivetrain","Transaxle","","Hyundai/Kia","2E","48810"
"83764-D9694","plausible_hk","not_hk_format","Body","Sunroof","","Hyundai/Kia","D9","83764"
"93082-D3630","plausible_hk","not_hk_format","Electrical","Lighting - Interior","","Hyundai/Kia","D3","93082"
"92981-A9075","plausible_hk","not_hk_format","Electrical","Lighting - Headlights","","Hyundai/Kia","A9","92981"
"33247-1G904","plausible_hk","not_hk_format","Drivetrain","Rear Axle & Differential","","Hyundai/Kia","1G","33247"
"18156-2G646","plausible_hk","not_hk_format","Engine","Ignition System","","Hyundai/Kia","2G","18156"
"65795-3E076","plausible_hk","not_hk_format","Body","Fender & Side Body","","Hyundai/Kia","3E","65795"
"58294-2G168","plausible_hk","not_hk_format","Brakes","Front Brake Caliper","","Hyundai/Kia","2G","58294"
"44622-D3959","plausible_hk","not_hk_format","Transmission","Transmission Control","","Hyundai/Kia","D3","44622"
"44001-06110","non_hk","non_hk","","","","","",""
"test","non_hk","non_hk","","","","","",""
"06L-115-561-H","non_hk","non_hk","","","","","",""
"51-16-7-292-819","non_hk","non_hk","","","","","",""
"42431-08040","non_hk","non_hk","","","","","",""
"39-40-6-874-336","non_hk","non_hk","","","","","",""
"51-71-7-186-731","non_hk","non_hk","","","","","",""
"81716-S9500","real_hk_coarse","exists","Body","Weatherstrip & Seal","weatherstrip,seal","Hyundai/Kia","S9","81716"
"87110-P2101","real_hk_coarse","exists","Body","Mouldings & Trim","mouldings,trim","Hyundai/Kia","P2","87110"
"20910-3CS01","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","3C","20910"
"77004-DW000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","DW","77004"
"31471-2F001","real_hk_coarse","exists","Drivetrain","Front Differential","front,differential","Hyundai/Kia","2F","31471"
"77121-P1000","real_hk_unseeded","exists","Unknown","Unknown","","Kia","P1","77121"
"80310-CV000","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai","CV","80310"
"99150-L3120","real_hk_unseeded","exists","Unknown","Unknown","","Hyundai/Kia","L3","99150"
